Source,Target,Type,Id,Label,timeset,Weight
3,1,Undirected,544,,,8
1,3,Undirected,545,,,2
5,3,Undirected,546,,,2
4,4,Undirected,547,,,2
4,4,Undirected,548,,,511
2,2,Undirected,551,,,346
1,1,Undirected,552,,,316
1,1,Undirected,553,,,286
5,5,Undirected,554,,,197
2,4,Undirected,555,,,103
5,5,Undirected,559,,,218
0,0,Undirected,561,,,80
1,1,Undirected,565,,,73
3,4,Undirected,566,,,122
0,0,Undirected,568,,,58
1,1,Undirected,569,,,59
1,1,Undirected,570,,,171
4,5,Undirected,573,,,73
4,4,Undirected,575,,,397
4,4,Undirected,576,,,64
5,5,Undirected,577,,,48
4,4,Undirected,581,,,48
1,1,Undirected,583,,,183
1,4,Undirected,586,,,39
4,4,Undirected,588,,,51
4,4,Undirected,590,,,37
4,4,Undirected,591,,,186
4,4,Undirected,593,,,39
1,1,Undirected,594,,,72
5,5,Undirected,596,,,51
4,4,Undirected,599,,,39
0,0,Undirected,600,,,31
5,4,Undirected,602,,,30
1,1,Undirected,604,,,46
3,4,Undirected,608,,,28
1,1,Undirected,610,,,28
1,1,Undirected,612,,,69
1,1,Undirected,613,,,70
4,4,Undirected,615,,,160
3,4,Undirected,616,,,249
1,1,Undirected,619,,,392
0,0,Undirected,621,,,23
4,4,Undirected,622,,,115
4,5,Undirected,624,,,22
4,4,Undirected,626,,,47
5,5,Undirected,627,,,21
4,4,Undirected,628,,,28
1,1,Undirected,629,,,21
0,0,Undirected,634,,,20
1,4,Undirected,635,,,20
0,0,Undirected,637,,,18
5,5,Undirected,638,,,17
5,5,Undirected,639,,,22
1,1,Undirected,641,,,28
4,4,Undirected,642,,,17
2,2,Undirected,643,,,16
2,2,Undirected,644,,,20
1,1,Undirected,645,,,16
5,5,Undirected,646,,,25
1,1,Undirected,647,,,20
5,5,Undirected,648,,,49
0,0,Undirected,651,,,15
2,4,Undirected,654,,,14
1,1,Undirected,656,,,14
4,2,Undirected,657,,,16
5,1,Undirected,658,,,13
3,4,Undirected,660,,,19
0,0,Undirected,661,,,13
4,4,Undirected,662,,,13
1,1,Undirected,663,,,13
4,4,Undirected,666,,,29
4,4,Undirected,668,,,34
1,4,Undirected,670,,,12
4,4,Undirected,672,,,12
1,1,Undirected,674,,,20
0,0,Undirected,675,,,12
4,4,Undirected,676,,,20
4,4,Undirected,679,,,16
5,5,Undirected,680,,,44
4,1,Undirected,681,,,11
4,4,Undirected,683,,,33
4,4,Undirected,685,,,10
1,1,Undirected,686,,,10
1,1,Undirected,688,,,25
2,2,Undirected,689,,,10
0,0,Undirected,691,,,10
4,4,Undirected,694,,,17
1,1,Undirected,695,,,10
4,4,Undirected,696,,,9
4,4,Undirected,697,,,15
5,4,Undirected,698,,,9
5,5,Undirected,699,,,9
2,4,Undirected,700,,,9
2,2,Undirected,701,,,9
4,4,Undirected,702,,,9
4,1,Undirected,703,,,14
1,1,Undirected,708,,,9
0,0,Undirected,709,,,9
3,4,Undirected,710,,,13
2,2,Undirected,711,,,8
2,2,Undirected,712,,,8
5,5,Undirected,714,,,10
2,2,Undirected,715,,,10
5,5,Undirected,716,,,8
1,1,Undirected,718,,,117
4,4,Undirected,720,,,19
4,4,Undirected,721,,,8
4,4,Undirected,723,,,8
1,4,Undirected,724,,,8
4,4,Undirected,726,,,8
2,2,Undirected,730,,,26
5,5,Undirected,732,,,7
4,5,Undirected,734,,,7
4,4,Undirected,735,,,9
4,4,Undirected,736,,,7
5,5,Undirected,742,,,7
2,2,Undirected,743,,,8
2,4,Undirected,744,,,10
5,5,Undirected,746,,,6
5,5,Undirected,747,,,6
4,4,Undirected,748,,,6
4,4,Undirected,749,,,8
1,1,Undirected,754,,,6
2,2,Undirected,755,,,6
2,2,Undirected,758,,,6
1,1,Undirected,759,,,16
4,4,Undirected,760,,,6
5,5,Undirected,761,,,13
5,5,Undirected,763,,,13
4,4,Undirected,764,,,5
2,2,Undirected,767,,,5
5,3,Undirected,768,,,5
2,2,Undirected,769,,,5
4,4,Undirected,770,,,17
4,5,Undirected,771,,,5
4,1,Undirected,772,,,18
4,4,Undirected,773,,,13
5,4,Undirected,774,,,5
4,4,Undirected,776,,,48
1,1,Undirected,778,,,13
1,1,Undirected,779,,,5
5,5,Undirected,780,,,5
5,5,Undirected,781,,,5
4,4,Undirected,782,,,5
4,4,Undirected,786,,,10
1,1,Undirected,788,,,124
0,0,Undirected,789,,,5
4,1,Undirected,790,,,5
4,3,Undirected,792,,,5
4,4,Undirected,793,,,9
4,4,Undirected,795,,,5
1,1,Undirected,796,,,5
4,4,Undirected,800,,,33
4,5,Undirected,802,,,4
3,3,Undirected,804,,,4
4,3,Undirected,805,,,7
4,4,Undirected,806,,,4
5,4,Undirected,807,,,4
5,5,Undirected,808,,,17
4,4,Undirected,809,,,9
0,0,Undirected,811,,,4
0,0,Undirected,813,,,4
5,5,Undirected,814,,,4
3,4,Undirected,815,,,4
0,0,Undirected,817,,,4
1,1,Undirected,818,,,8
2,2,Undirected,819,,,4
2,2,Undirected,820,,,4
2,4,Undirected,821,,,6
4,2,Undirected,822,,,4
4,4,Undirected,823,,,4
2,4,Undirected,824,,,16
4,4,Undirected,826,,,4
4,5,Undirected,827,,,4
4,1,Undirected,828,,,9
1,4,Undirected,829,,,4
