Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
HOBB,Hobb,,1,2,5,0.270343,0.280307,0,1
RYLENE,Rylene,,2,4,4,0.353873,0.368574,0,1
DESMOND,Desmond,,3,6,4,0.379962,0.399668,401,3
ELDRICK,Eldrick,,1,2,5,0.275531,0.283541,0,3
QHORIN_HALFHAND,Qhorin,,2,4,4,0.35797,0.375,0,1
OBERYN,Oberyn,,26,501,4,0.414006,0.454187,153.463988,4
ELLARIA,Ellaria,,34,412,4,0.445676,0.488599,590.043259,4
STYR,Styr,,9,84,4,0.368132,0.393035,92.045471,1
YOHN_ROYCE,Yohn Royce,,36,293,4,0.483755,0.518864,229.440266,3
HIZDAHR,Hizdahr,,12,171,4,0.389913,0.418532,55.651008,0
MOLES_TOWN_WHORE,Mole's Town Whore,,4,33,4,0.343296,0.360904,0,1
ANYA_WAYNWOOD,Anya Waynwood,,6,49,4,0.361511,0.382048,0.785714,3
FARMER_HAMLET,Hamlet Farmer,,3,44,4,0.358929,0.377488,0,2
TYCHO,Tycho,,10,107,4,0.390291,0.417703,24.780079,4
MORGAN,Morgan,,10,58,4,0.377465,0.4034,291.656302,4
RALF,Ralf,,3,22,4,0.35048,0.365464,1.676975,5
TERNESIO_TERYS,Ternesio Terys,,1,17,5,0.351706,0.36762,0,2
FENNESZ,Fennesz,,3,22,4,0.350785,0.368781,1.153409,0
TANSY,Tansy,,3,27,4,0.348656,0.364221,0,5
ELIA,Elia,,4,24,4,0.358608,0.378524,0,4
OLLY,Olly,,20,228,4,0.385057,0.420605,244.071329,1
DYING_MAN,Dying Man,,2,22,4,0.358608,0.376244,0,2
SALLY,Sally,,3,23,4,0.358929,0.377488,0,2
SISSY,Sissy,,8,39,4,0.361836,0.384121,4.948676,1
MORGANS_FRIEND,Morgan's Friend,,5,24,4,0.375,0.396352,0,4
THREE_EYED_RAVEN,Three Eyed Raven,,12,166,4,0.364791,0.391376,12.036873,5
BALON_DWARF,Balon Dwarf,,5,21,5,0.330592,0.350622,0.25,6
ROBB_DWARF,Robb Dwarf,,8,27,4,0.391051,0.416045,52.497161,6
DONNEL_HILL,Donnel Hill,,3,13,5,0.295371,0.310821,0.933333,1
MORAG,Morag,,6,28,4,0.361186,0.381633,0,1
BOLTON_GUARD,Bolton Guard,,2,10,5,0.327362,0.338806,0,5
LEAF,Leaf,,6,74,4,0.346851,0.364842,0.125,5
MEEREEN_CHAMPION,Meereen Champion,,3,13,4,0.352014,0.370232,0,0
DONGO_THE_GIANT,Dongo the Giant,,2,9,4,0.357333,0.374171,0,1
MAG_THE_MIGHTY,Mag the Mighty,,6,26,4,0.36612,0.38806,74.702443,1
DORNISH_LORD,Dornish Lord,,2,9,4,0.368469,0.386401,0,4
ENDREW,Endrew,,2,12,4,0.362489,0.379975,0,4
GUYMON,Guymon,,4,14,5,0.2843,0.302529,0,1
HIZDAHRS_FATHER,Hizdahr's Father,,2,11,4,0.349565,0.366294,0,0
MOLES_TOWN_MADAM,Mole's Town Madam,,4,14,4,0.343296,0.360904,0,1
RENLY_DWARF,Renly Dwarf,,6,18,5,0.332231,0.353939,1.215097,6
STANNIS_DWARF,Stannis Dwarf,,5,18,5,0.331957,0.352695,0.798431,6
ELDER_MEEREEN_SLAVE,Meereen Statesman,,3,14,4,0.334721,0.348259,42.666818,0
MOSSADOR,Mossador,,9,63,4,0.389158,0.415216,403.924608,0
FIRST_MATE,First Mate,,3,14,4,0.348958,0.364428,10.646717,5
GOATHERD,Goatherd,,6,19,4,0.360538,0.382463,401,0
JOFFREY_DWARF,Joffrey Dwarf,,9,28,4,0.391431,0.417289,77.620314,6
ORSON,Orson,,1,6,4,0.367123,0.383914,0,4
MASTER_MIGHDAL,Master Mighdal,,2,7,4,0.349565,0.366294,0,0
MANSERVANT,Manservant,,2,8,4,0.349565,0.366294,0,0
LHARA,Lhara,,1,5,5,0.270525,0.278856,0,1
LUTHOR,Luthor,,2,7,5,0.310665,0.325456,0,4
WALDA,Walda,,7,78,4,0.374302,0.397803,73.03018,5
ADRACK_HUMBLE,Adrack Humble,,2,6,4,0.345955,0.35966,0,5
AXELL_FLORENT,Axell Florent,,4,12,4,0.355124,0.371891,0,1
BLACK_JACK,Black Jack,,2,8,1,1,1,0,7
KEGS,Kegs,,2,8,1,1,1,0,7
MULLY,Mully,,2,8,1,1,1,0,7
COOPER,Cooper,,2,7,5,0.294721,0.308748,0,1
CRASTERS_BABY,Baby,,10,26,4,0.352632,0.374585,8.235224,5
MEEREEN_SLAVE,Meereen Slave,,2,7,5,0.28053,0.291294,0,0
OLLYS_MOTHER,Olly's Mother,,5,13,5,0.337248,0.35539,12.993326,1
THENN_WARG,Thenn Warg,,3,10,5,0.335559,0.351451,0,1
LOLLYS,Lollys,,4,24,4,0.380322,0.401327,401,4
DONNEL_WAYNWOOD,Donnel Waynwood,,2,5,4,0.358608,0.376244,0,2
DORAN,Doran,,12,148,4,0.384689,0.412935,57.960183,4
INNKEEPER,Innkeeper,,4,10,4,0.359249,0.378731,0,2
VANCE_CORBRAY,Vance Corbray,,4,9,4,0.360215,0.378731,0,3
INNKEEPERS_DAUGHTER,Innkeeper's Daughter,,2,4,4,0.358608,0.376244,0,2
TOMMY,Tommy,,4,8,4,0.359249,0.378731,0,2
FALYSE,Falyse,,1,4,5,0.338384,0.351658,0,4
FOOL,Fool,,3,6,4,0.358608,0.377695,0,4
NIGHT_KING,Night King,,19,160,4,0.455266,0.483416,295.227026,5
WHITE_WALKER,White Walker,,6,12,4,0.383588,0.408167,14.521241,5
GOATHERDS_SON,Goatherd's Son,,1,2,5,0.265172,0.273922,0,0
VIOLA,Viola,,2,4,5,0.310665,0.325456,0,4
ZALA,Zala,,1,2,4,0.329508,0.340796,0,0
MUSICIAN,Musician,,1,2,5,0.310425,0.324212,0,4
ORYS,Orys,,2,4,5,0.327362,0.342952,0,4
ORYS_BROTHER,Orys's Brother,,2,4,5,0.327362,0.342952,0,4
HIGH_SPARROW,High Sparrow,,15,423,4,0.37782,0.408582,14.696609,4
WAIF,Waif,,4,152,5,0.352941,0.371766,0.833333,2
TYENE,Tyene,,15,169,4,0.389535,0.42102,89.173094,4
KARSI,Karsi,,4,57,4,0.359893,0.379146,0.554495,1
AREO,Areo,,10,128,4,0.363144,0.387231,19.907518,4
MAGGY,Maggy,,3,24,4,0.354185,0.371269,2.431784,4
BLACK_HAIRED_PROSTITUTE,Strumpet,,1,17,4,0.367123,0.383914,0,4
MALKO,Malko,,2,29,4,0.379245,0.398632,0,4
LOBODA,Loboda,,3,28,4,0.358608,0.376658,0,1
SEPTA_UNELLA,Septa Unella,,5,68,4,0.351092,0.370439,0.222222,4
NYMERIA,Nymeria,,11,85,4,0.377111,0.404022,10.829362,4
THIN_MAN,Thin Man,,6,32,4,0.361511,0.38267,2.533594,2
DORNISH_RIDER,Dornish Rider,,2,16,4,0.359249,0.375829,0,4
MELARA,Melara,,2,14,4,0.348052,0.363806,0,4
BRAND,Brand,,2,17,4,0.342711,0.358416,0,1
DERRYK,Derryk,,3,23,4,0.343003,0.35966,0.5,1
OBARA,Obara,,14,107,4,0.378888,0.408582,20.857428,4
OWNER,Owner,,4,18,4,0.385057,0.406716,0,0
MADAME,Madame,,2,8,4,0.356067,0.373134,0,4
QUICK,Quick,,5,12,4,0.383954,0.406302,0,0
STRONG,Strong,,5,12,4,0.383954,0.406302,0,0
LORD_WEEBLY,Lord Weebly,,2,5,4,0.36413,0.382255,0,1
RHAENYRA,Rhaenyra,,1,2,5,0.283698,0.292745,0,0
DENYS,Denys,,1,2,5,0.279167,0.29204,0,1
BRIAN,Brian,,1,2,4,0.356699,0.372512,0,1
CERWYN,Cerwyn,,1,2,5,0.296679,0.310075,0,5
TANDA,Tanda,,1,2,5,0.27572,0.284121,0,4
LYANNA_MORMONT,Lyanna Mormont,,32,264,4,0.484337,0.515962,241.195994,1
