Source,Target,Type,Id,Label,timeset,Weight
JON_ARRYN,LITTLEFINGER,Undirected,271,,,9
JON_ARRYN,LYSA,Undirected,272,,,13
JONOS_BRACKEN,ROBB,Undirected,273,,,5
JORAH,QOTHO,Undirected,274,,,5
LYSA,MORD,Undirected,275,,,5
MAESTER_LUWIN,NED,Undirected,276,,,5
MARILLION,RODRIK,Undirected,277,,,5
MARILLION,TYRION,Undirected,278,,,5
MASHA_HEDDLE,TYRION,Undirected,279,,,5
MOUNTAIN,NED,Undirected,280,,,5
RENLY,SANSA,Undirected,281,,,7
ROBB,ROBERT,Undirected,282,,,7
ROBB,TYWIN,Undirected,283,,,22
ROBB,WALDER,Undirected,284,,,35
ROBERT,STANNIS,Undirected,285,,,18
AERYS,RICKARD_STARK,Undirected,286,,,4
ALLISER_THORNE,RAST,Undirected,287,,,4
ARYA,ILYN_PAYNE,Undirected,288,,,6
BAELOR,YOREN,Undirected,289,,,4
BARRISTAN,JAIME,Undirected,290,,,4
BARRISTAN,LITTLEFINGER,Undirected,291,,,4
BARRISTAN,PYCELLE,Undirected,292,,,4
BRAN,CERSEI,Undirected,293,,,4
BRONN,VARDIS_EGEN,Undirected,294,,,4
CATELYN,JON_ARRYN,Undirected,295,,,6
CATELYN,MARILLION,Undirected,296,,,4
CATELYN,TYWIN,Undirected,297,,,6
CERSEI,HOUND,Undirected,298,,,22
DAENERYS,VARYS,Undirected,299,,,132
DAREON,JON,Undirected,300,,,4
DAREON,SAM,Undirected,301,,,6
GARED,WILL,Undirected,302,,,4
GRENN,JEOR,Undirected,303,,,11
HOUND,LORAS,Undirected,304,,,4
HUGH_OF_THE_VALE,LITTLEFINGER,Undirected,305,,,4
ILYN_PAYNE,JOFFREY,Undirected,306,,,6
ILYN_PAYNE,NED,Undirected,307,,,6
ILYN_PAYNE,SANSA,Undirected,308,,,8
ILYN_PAYNE,YOREN,Undirected,309,,,4
JAIME,ROS,Undirected,310,,,4
JAIME,THEON,Undirected,311,,,8
JORY_CASSEL,ROBERT,Undirected,312,,,4
LANCEL,NED,Undirected,313,,,4
LITTLEFINGER,SEPTA_MORDANE,Undirected,314,,,4
LITTLEFINGER,TYWIN,Undirected,315,,,38
LORAS,MOUNTAIN,Undirected,316,,,4
LORAS,NED,Undirected,317,,,4
LORAS,SANSA,Undirected,318,,,37
LYANNA,NED,Undirected,319,,,41
MIRRI_MAZ_DUUR,RAKHARO,Undirected,320,,,4
MOUNTAIN,ROBERT,Undirected,321,,,4
MOUNTAIN,SANSA,Undirected,322,,,4
MYCAH,SANSA,Undirected,323,,,4
NED,RICKARD_STARK,Undirected,324,,,9
OLD_NAN,ROBB,Undirected,325,,,4
ROYCE,WILL,Undirected,326,,,4
RYGER_RIVERS,WALDER,Undirected,327,,,4
