Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Marlon-Manderly,Marlon-Manderly,,2,8,6,0.303846,0.32827,0,5
Robett-Glover,Robett-Glover,,2,8,6,0.303846,0.32827,0,5
Salladhor-Saan,Salladhor-Saan,,2,19,6,0.303846,0.32827,0,5
Sybell-Spicer,Sybell-Spicer,,3,9,7,0.24649,0.270155,8.550992,5
Denzo-Dhan,Denzo-Dhan,,1,3,7,0.212938,0.232331,0,4
Devan-Seaworth,Devan-Seaworth,,3,23,6,0.32212,0.355854,0,1
Dick-Straw,Dick-Straw,,2,7,7,0.213658,0.235759,315,4
Hugh-Hungerford,Hugh-Hungerford,,1,3,8,0.176143,0.188472,0,4
Donal-Noye,Donal-Noye,,2,10,7,0.262458,0.299375,0,1
Qhorin-Halfhand,Qhorin-Halfhand,,3,9,7,0.262677,0.300957,0.5,1
Nymeria-Sand,Nymeria-Sand,,3,18,6,0.248819,0.270622,145.410502,7
Oberyn-Martell,Oberyn-Martell,,2,8,6,0.249408,0.270886,0,7
Draqaz,Draqaz,,1,3,7,0.211513,0.229114,0,4
Dryn,Dryn,,1,3,7,0.226361,0.243475,0,1
Willam-Dustin,Willam-Dustin,,2,7,5,0.315684,0.329694,0,1
Emmett,Emmett,,5,34,7,0.263553,0.305176,2.333333,1
Hobb,Hobb,,5,19,7,0.264878,0.307022,6.128247,1
Janos-Slynt,Janos-Slynt,,3,24,7,0.262677,0.300957,0,1
Hop-Robin,Hop-Robin,,3,13,7,0.263114,0.302012,0,1
Frenya,Frenya,,2,9,7,0.253815,0.280018,0,3
Holly,Holly,,4,23,7,0.254224,0.283183,1,3
Fulk,Fulk,,2,9,7,0.262458,0.299375,0,1
Garth-Greyfeather,Garth-Greyfeather,,3,11,7,0.262677,0.300957,0,1
Hairy-Hal,Hairy-Hal,,3,11,7,0.262677,0.300957,0,1
Jack-Bulwer,Jack-Bulwer,,3,10,7,0.262677,0.300957,0,1
Gerrick-Kingsblood,Gerrick-Kingsblood,,2,8,7,0.262677,0.299902,315,1
Raymun-Redbeard,Raymun-Redbeard,,1,3,8,0.208169,0.226002,0,1
Grenn,Grenn,,2,6,8,0.208581,0.228376,0,9
Pypar,Pypar,,3,12,7,0.263114,0.302012,628,9
Todder,Todder,,2,7,8,0.208581,0.228376,0,9
Lorren,Lorren,,4,14,7,0.210807,0.226251,316.5,2
Haggon,Haggon,,1,8,8,0.203215,0.216139,0,8
Pono,Pono,,1,3,7,0.227338,0.241832,0,0
Leathers,Leathers,,5,37,7,0.263773,0.305704,5.666667,1
Rory,Rory,,2,10,7,0.262895,0.300429,0,1
Harl,Harl,,1,3,8,0.174201,0.182327,0,2
Myles-Toyne,Myles-Toyne,,2,13,6,0.248233,0.268302,0,0
Harwood-Stout,Harwood-Stout,,1,5,7,0.253612,0.278436,0,3
Harys-Swyft,Harys-Swyft,,1,4,8,0.194462,0.205839,0,7
Pycelle,Pycelle,,3,13,7,0.241221,0.26314,315,7
Marghaz-zo-Loraq,Marghaz-zo-Loraq,,1,5,7,0.21629,0.242722,0,4
Owen,Owen,,2,8,7,0.262458,0.299375,0,1
Rowan,Rowan,,5,27,7,0.267343,0.302592,14.783325,3
Hoster-Blackwood,Hoster-Blackwood,,1,4,6,0.237773,0.252848,0,7
Hother-Umber,Hother-Umber,,4,16,7,0.249605,0.276748,321.747619,3
Jon-Umber-(Greatjon),Jon-Umber-(Greatjon),,1,3,8,0.199873,0.213133,0,3
Jonos-Bracken,Jonos-Bracken,,1,9,6,0.237773,0.252848,0,7
Josmyn-Peckledon,Josmyn-Peckledon,,1,3,6,0.237773,0.252848,0,7
Tytos-Blackwood,Tytos-Blackwood,,1,6,6,0.237773,0.252848,0,7
Jared-Frey,Jared-Frey,,1,3,8,0.196273,0.206804,0,5
Rhaegar-Frey,Rhaegar-Frey,,2,6,7,0.244015,0.263826,315,5
